station,district,n_windows,stride_rows,raw_rows,xgb_raw_rmse,xgb_stride_rmse,ridge_raw_rmse,ridge_stride_rmse,persist_raw_rmse,persist_stride_rmse,clim_raw_rmse,clim_stride_rmse
Chitrakoot Manikpur Sardar Patel,CHITRAKOOT,6,6,609,0.91874451758398,1.047505424931999,0.9840611137647216,1.3763701711693765,0.7621103327147928,1.063166858032271,1.002259160464013,1.1039253824421287
Chorwa Bhari Prathmik Vidyalaya,SHRAWASTI,7,7,745,0.6173217645391337,0.5325968924051229,0.7985544416613749,0.8997611564971941,0.6259992088329649,0.3630063015343231,0.8595045175346828,1.02796157190022
"Community Center, Ghorawal",SONBHADRA,7,7,746,1.5885230876757535,1.5933851566380897,1.4237235261893784,1.5595802981366667,1.6888333089900613,1.674209345667112,2.36283154631605,2.484730155257195
Comosite School Campus Badalganj,AZAMGARH,7,7,821,0.2631832097121909,0.1272793891661301,1.1103747146340621,1.027348708490171,0.3854196943668593,0.25953949803830983,0.4452101836148822,0.41890927141634304
Composite Girls Primary School Mai,JALAUN,7,7,826,0.24034040047610472,0.21249968431104388,0.6652132546647547,0.6621678198549287,0.04781694544660801,0.04712449964439348,0.9034160740587563,0.9530039864629558
Composite School Basantpur Saitali-1,GHAZIABAD,6,6,628,0.393113925017772,0.20032159218844725,0.6556455529804405,0.6289690131507435,0.4004900513702435,0.1915360256801259,0.7846957153221269,0.7421399484767007
Composite School Biralsi,MUZAFFARNAGAR,7,7,796,1.0267972433541126,0.947460215680371,1.0485821697582896,0.8352325811511104,1.2281309082900247,1.0899659530072325,6.787841438084747,7.0118053811500625
Composite School Kilhora,GHAZIABAD,7,7,817,0.20162011269035499,0.22884226716217831,0.7347620837981711,0.7770285861297719,0.268774004282451,0.2563064616099555,0.6529059240610087,0.6100527000800827
Composite School Nagla Bair,GHAZIABAD,7,7,732,0.22298161912189063,0.2355972712498404,0.963259021345259,0.9861258982938004,0.32187331970662525,0.3215593141271193,1.100285250986421,1.0381277500608628
Composite School Sagarpur,MIRZAPUR,7,7,821,3.2753838182114703,0.26062700882421835,3.274326642221334,0.3855517674268474,3.4040496135030245,0.14364873025080865,3.848910078775539,1.2003899440836476
Composite School Sanjarpur,MIRZAPUR,7,7,821,0.6399731216216031,0.5839166247753202,0.8956839655117127,0.7731375897017955,0.8207574205071322,0.7268746737220058,0.7440845000695536,0.7491774730734462
Composite School katar,AZAMGARH,7,7,821,1.8249233827618954,1.9549187290432632,0.7631081295571724,0.7483820878560912,0.029986960721351038,0.02610967499306447,0.16862777813793473,0.1670804513764039
"Composite School, Dhamna Khurd",FATEHPUR,6,6,656,0.15494341817749174,0.14206475497769666,0.24798593165459087,0.25963541684033054,0.06461736376349284,0.06641266241305523,0.3979364695952387,0.3863524607897992
