gwl_station,src_station,dist_km
Gorakhpur Gola Gopalpur Patham,Atraulia,39.59981818378587
Gorakhpur Gola Gopalpur Patham,Bhaluani,43.838561668511396
Gorakhpur Gola Turkwaliya,Atraulia,67.66441576399882
Gorakhpur Gola Turkwaliya,Mahrajganj_1,70.0803255276766
Gorakhpur Gola Turkwaliya,Pathar Dewa,72.86341543313831
Gorakhpur Kauriram Dhausa,Mahrajganj_1,39.07780187844148
Gorakhpur Kauriram Dhausa,Bhaluani,39.22928099502136
Gorakhpur Kauriram Dhausa,Atraulia,50.04094637130216
Gorakhpur Kauriram Jagdispur Bhaluwan 2Nd,Bhaluani,33.186126075436356
Gorakhpur Kauriram Jagdispur Bhaluwan 2Nd,Mahrajganj_1,38.27187727067789
Gorakhpur Kauriram Jagdispur Bhaluwan 2Nd,Pathar Dewa,49.541495872753146
Gorakhpur Pali Dumari Niwas,Atraulia,60.253232769670866
Gorakhpur Pali Dumari Niwas,Mahrajganj_1,65.65519529617349
Gorakhpur Pali Dumari Niwas,Bhaluani,81.140153572297
Gorakhpur Pali Pali,Atraulia,59.45458605329938
Gorakhpur Pali Pali,Mahrajganj_1,62.906234055982445
Gorakhpur Pali Pali,Bhaluani,75.02669500494044
Gorakhpur Sahjanwa Kasrol,Atraulia,51.02858864332188
Gorakhpur Sahjanwa Kasrol,Mahrajganj_1,55.376650071219764
Gorakhpur Sahjanwa Kasrol,Bhaluani,74.307145627572
Gorakhpur Sardarnagr Awadpur,Pathar Dewa,38.328023947370205
Gorakhpur Sardarnagr Awadpur,Bhaluani,40.22964829409348
Gorakhpur Sardarnagr Awadpur,Mahrajganj_1,62.53367850626347
Gorakhpur Urwa Malhanpar,Mahrajganj_1,36.119244420883724
Gorakhpur Urwa Malhanpar,Atraulia,42.40020753754309
Gorakhpur Urwa Malhanpar,Bhaluani,50.84485561824123
Goshala Bada Gaon,Rasin Dam,37.35296162493445
Goshala Bada Gaon,Rangwa Dam (ARG+AWLR),37.35925714812412
Goshala Bada Gaon,Gunta Dam,59.068133072393636
Goshala Bankat,Gunta Dam,41.93874691783649
Goshala Bankat,Rasin Dam,51.207343375650446
Goshala Bankat,Rangwa Dam (ARG+AWLR),51.20972094148673
Goshala Basela,Lahchura ARG + D/S,32.438771366288385
Goshala Basela,Lakheri Dam ARG+AWLR,37.222335364851894
Goshala Basela,Pahari Dam,40.3417111059086
Goshala Bhadehdu,Rasin Dam,32.469998519507314
Goshala Bhadehdu,Rangwa Dam (ARG+AWLR),32.475416081916244
Goshala Bhadehdu,Gunta Dam,51.302264515654706
Goshala Churaha,Lakheri Dam ARG+AWLR,49.04929925682904
Goshala Churaha,Lahchura ARG + D/S,49.7873177571418
Goshala Churaha,Pathari Dam,57.99294596806812
Goshala Ghuri,Rasin Dam,30.264875271654994
Goshala Ghuri,Rangwa Dam (ARG+AWLR),30.272184735122732
Goshala Ghuri,Gunta Dam,62.377105303550806
Goshala Pachhahan,Gunta Dam,40.589572913218696
Goshala Pachhahan,Rasin Dam,47.67665863032961
Goshala Pachhahan,Rangwa Dam (ARG+AWLR),47.67907752136689
Goyla,Lalukhedi ARG,23.257748862305743
Goyla,RAMALA ARG,31.683635924022422
Goyla,Barut ARG,38.64576466451775
"Gram Panchayat Sachiwalaya / D.B.R. Ambedkar Samudayak Bhawan, Durkhuroo",Lakheri Dam ARG+AWLR,26.31969801239511
