Station,District,Tehsil,Block,Latitude,Longitude,n_2026_months,n_2026_records,first_2026,last_record,full26
"Primary School, Khandeura",BANDA,Banda,-,25.100075,80.576999,8,840,2026-01-01 06:00:00,2026-08-31 12:00:00,True
"Primary School, Khiriya",JHANSI,Jhansi,-,25.683912,78.9886,9,844,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Khujurahokhurd",JHANSI,Jhansi,-,26.017751,79.382879,9,849,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Kodai",VARANASI,-,-,25.4061837,82.7441688,9,799,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Koilar",VARANASI,-,-,25.4097142,82.723222,9,801,2026-01-01 00:00:00,2026-09-05 12:00:00,True
"Primary School, Kritikhand",FATEHPUR,-,-,25.857666,80.580818,9,909,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Leharthkurpura",JHANSI,Jhansi,-,25.242715,78.54858,9,853,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Manupura",LALITPUR,-,-,24.839105,78.5107,8,782,2026-01-01 00:00:00,2026-08-15 00:00:00,True
"Primary School, Marry",JHANSI,Jhansi,-,25.476462,78.602875,9,849,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Masaurakhurd",LALITPUR,-,-,24.652554,78.451204,9,848,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Mithabel",GORAKHPUR,-,-,26.554835,83.588628,9,848,2026-01-01 18:00:00,2026-09-05 12:00:00,True
"Primary School, Motiyari, Mahuaa, Banda_1",BANDA,-,-,25.190927,80.504354,9,842,2026-01-01 00:00:00,2026-09-05 18:00:00,True
"Primary School, Narokhar",SONBHADRA,-,-,24.6313441,83.1693236,9,802,2026-01-01 18:00:00,2026-09-05 12:00:00,True
"Primary School, Narouiya Daamar",SONBHADRA,-,-,24.3269571,83.370573,9,821,2026-01-01 00:00:00,2026-09-05 12:00:00,True
