district,year,class,area_sqkm,pct
CHITRAKOOT,2005-06,"Barren/Wastelands, Sandy area",11.91226068,0.4047659082568807
CHITRAKOOT,2005-06,"Barren/Wastelands, Barren rocky",37.46794086,1.2731206544342508
CHITRAKOOT,2005-06,"Barren/Wastelands, Rann",0.0,0.0
CHITRAKOOT,2005-06,"Wetlands/Water, Inland Wetland",4.072922605,0.1383935645599728
CHITRAKOOT,2005-06,"Wetlands/Water, Coastal Wetland",0.0,0.0
CHITRAKOOT,2005-06,"Wetlands/Water, River/Stream/Canal",90.5689547,3.0774364492014956
CHITRAKOOT,2005-06,"Wetlands/Water, Reservoir/Lake/Pond",24.08889297,0.818514881753313
CHITRAKOOT,2005-06,Snow and Glacier,0.0,0.0
DEORIA,2011-12,"Builtup,Urban",26.24,1.0194250194250194
DEORIA,2011-12,"Builtup,Rural",213.02,8.275835275835275
DEORIA,2011-12,"Builtup,Mining",11.07,0.43006993006993005
DEORIA,2011-12,"Agriculture,Crop land",2152.76,83.63480963480964
DEORIA,2011-12,"Agriculture,Plantation",19.34,0.7513597513597513
DEORIA,2011-12,"Agriculture,Fallow",8.83,0.34304584304584307
DEORIA,2011-12,"Agriculture, Shifting Cultivation",0.0,0.0
DEORIA,2011-12,"Forest,Evergreen/Semi evergreen",0.0,0.0
DEORIA,2011-12,"Forest,Deciduous",11.59,0.45027195027195027
DEORIA,2011-12,"Forest,Forest Plantation",0.0,0.0
DEORIA,2011-12,"Forest,Scrub Forest",0.0,0.0
DEORIA,2011-12,"Forest,Swamp/Mangroves",0.0,0.0
DEORIA,2011-12,Grass/Grazing,0.0,0.0
DEORIA,2011-12,"Barren/Wastelands, Salt Affected",0.01,0.0003885003885003885
DEORIA,2011-12,"Barren/Wastelands, Gullied/Ravinus",0.05,0.0019425019425019425
DEORIA,2011-12,"Barren/Wastelands, Scrub land",23.77,0.9234654234654235
DEORIA,2011-12,"Barren/Wastelands, Sandy area",0.26,0.010101010101010102
DEORIA,2011-12,"Barren/Wastelands, Barren rocky",0.0,0.0
DEORIA,2011-12,"Barren/Wastelands, Rann",0.0,0.0
